Date,Open,High,Low,Close,Volume,Symbol
2023-01-03,130.28,130.90,124.17,125.07,112117500,AAPL
2023-01-04,126.89,128.66,125.08,126.36,89113600,AAPL
2023-01-05,127.13,127.77,124.76,125.02,80962700,AAPL
2023-01-06,126.01,130.29,124.89,129.62,87754700,AAPL
2023-01-09,130.47,133.41,129.89,130.15,70790800,AAPL
2023-01-10,130.26,131.26,128.12,130.73,63896200,AAPL
2023-01-11,131.25,133.51,130.46,133.49,69458900,AAPL
2023-01-12,133.88,134.26,131.44,133.41,71379600,AAPL
2023-01-13,132.03,134.92,131.66,134.76,57809700,AAPL
2023-01-17,134.83,137.29,134.13,135.94,63646600,AAPL
2023-01-18,136.38,138.02,135.53,135.21,69672800,AAPL
2023-01-19,135.37,136.27,133.77,135.27,58280400,AAPL
2023-01-20,135.28,137.77,134.92,137.87,61177400,AAPL
2023-01-23,138.12,143.32,137.90,141.11,82583200,AAPL
2023-01-24,140.93,142.48,138.81,142.53,64218200,AAPL
2023-01-25,140.89,142.43,138.81,141.86,65437000,AAPL
2023-01-26,143.17,144.25,141.90,143.96,54091700,AAPL
2023-01-27,143.16,147.23,143.08,145.93,70555800,AAPL
2023-01-30,144.96,146.71,143.08,143.00,64015300,AAPL
2023-01-31,142.70,144.34,142.28,144.29,65874500,AAPL
2023-02-01,143.97,146.61,143.90,145.43,77663600,AAPL
2023-02-02,148.90,150.13,146.77,150.82,118339000,AAPL
2023-02-03,148.48,157.28,148.17,154.50,151801000,AAPL
2023-02-06,152.57,153.10,150.78,151.73,84802400,AAPL
2023-02-07,150.96,155.08,150.64,154.65,83374300,AAPL
2023-02-08,153.88,154.58,151.17,151.92,64291400,AAPL
2023-02-09,150.94,154.56,150.17,150.87,58883400,AAPL
2023-02-10,149.42,151.48,148.49,151.01,58733000,AAPL
2023-02-13,150.41,153.09,150.35,153.85,69458300,AAPL
2023-02-14,153.11,153.50,151.65,153.20,58867200,AAPL
2023-02-15,152.23,153.77,151.05,155.33,98566500,AAPL
2023-02-16,153.71,156.30,153.46,153.71,96346300,AAPL
2023-02-17,152.35,152.55,150.86,152.55,78820300,AAPL
2023-02-21,148.91,150.34,147.68,148.48,77906900,AAPL
2023-02-22,148.87,149.95,147.16,148.91,61707600,AAPL
2023-02-23,150.09,150.40,147.24,149.40,58314900,AAPL
2023-02-24,147.11,147.19,145.72,146.71,54105500,AAPL
2023-02-27,147.71,149.17,147.45,147.92,53553600,AAPL
2023-02-28,147.05,149.08,146.84,147.41,49390700,AAPL
2023-03-01,146.83,147.23,145.01,145.31,55479000,AAPL
2023-03-02,144.38,146.71,143.90,145.91,52279200,AAPL
2023-03-03,148.05,151.11,147.33,151.03,70732300,AAPL
2023-03-06,153.79,156.46,153.46,153.83,87558000,AAPL
2023-03-07,153.70,154.03,151.13,151.60,56182000,AAPL
2023-03-08,152.81,153.47,151.83,152.87,47204800,AAPL
